dopage_id,edition,athlete,country,medal,event,sport,sex
150,2012 Summer Olympics,Oleksandr Pyatnytsya,Ukraine,Silver,"Athletics, Men's javelin throw",Athletics,Male
151,2012 Summer Olympics,Yuliya Kalina,Ukraine,Bronze,"Weightlifting, Women's 58 kg",Weightlifting,Female
152,2012 Summer Olympics,Artur Taymazov,Uzbekistan,Gold,"Wrestling, Men's freestyle 120 kg",Wrestling,Male
153,2012 Summer Olympics,Soslan Tigiev,Uzbekistan,Bronze,"Wrestling, Men's freestyle 74 kg",Wrestling,Male
154,2014 Winter Olympics,"Two-man ( Alexandr Zubkov , Alexey Voyevoda )",Russian Federation,Gold,"Bobsleigh, Two-man",Bobsleigh,Male
155,2014 Winter Olympics,"Four-man ( Alexandr Zubkov , Alexey Voyevoda )",Russian Federation,Gold,"Bobsleigh, Four-man",Bobsleigh,Male
156,2014 Winter Olympics,Relay team ( Evgeny Ustyugov ),Russian Federation,Gold,"Biathlon, Men's relay",Biathlon,Male
157,2014 Winter Olympics,Relay team ( Olga Zaitseva ),Russian Federation,Silver,"Biathlon, Women's relay",Biathlon,Female
158,2016 Summer Olympics,Nijat Rahimov,Kazakhstan,Gold,"Weightlifting, Men's 77 kg (Y) – 3 medals to be allocated",Weightlifting,Male
159,2016 Summer Olympics,Izzat Artykov,Kyrgyzstan,Bronze,"Weightlifting, Men's 69 kg",Weightlifting,Male
160,2016 Summer Olympics,Serghei Tarnovschi,Republic of Moldova,Bronze,"Canoeing, Men's C-1 1000 m",Canoeing,Male
161,2016 Summer Olympics,Gabriel Sîncrăian,Romania,Bronze,"Weightlifting, Men's 85 kg",Weightlifting,Male
162,2016 Summer Olympics,Mikhail Aloyan,Russian Federation,Silver,"Boxing, Men's flyweight",Boxing,Male
163,2018 Winter Olympics,Curling team ( Aleksandr Krushelnitckii ),Russian Federation,Bronze,"Curling, Mixed doubles",Curling,Mixed
164,2020 Summer Olympics,Relay team ( Chijindu Ujah ),Great Britain,Silver,"Athletics, Men's 4 x 100 m relay",Athletics,Male
165,2022 Winter Olympics,Figure skating team ( Kamila Valieva ),Russian Federation,Gold,"Figure skating, team event",Figure skating,Mixed
166,2024 Summer Olympics,Jordan Chiles,United States,Bronze,"Gymnastics, Women's floor (Z)",Gymnastics,Female
